axis,context,metric,mean_tau,median_tau,min_tau,max_tau,mean_q,n_models,n_sig
adapter_progression,dense_k1,CTQRS,-0.063951,-0.117022,-0.206285,0.131453,0.000027,3,3
adapter_progression,dense_k1,CondFilledRate,0.189190,0.183843,0.026576,0.357150,0.333333,3,2
adapter_progression,dense_k1,ContextSupportRate,0.087818,0.111994,0.018080,0.133381,0.333494,3,2
adapter_progression,dense_k1,ROUGE1_F1,0.256984,0.327919,0.011686,0.431346,0.333333,3,2
adapter_progression,dense_k1,ROUGE1_F1_NORM,0.250998,0.324173,0.005407,0.423415,0.333333,3,2
adapter_progression,dense_k1,ROUGE1_R,-0.072067,-0.086339,-0.248333,0.118470,0.002703,3,3
adapter_progression,dense_k1,ROUGE1_R_NORM,-0.076891,-0.087828,-0.253664,0.110818,0.002173,3,3
adapter_progression,dense_k1,SBERT,0.103517,0.074013,-0.048381,0.284918,0.353042,3,1
adapter_progression,dense_k1,SBERT_NORM,0.098199,0.068766,-0.050978,0.276807,0.374361,3,1
adapter_progression,dense_k1,SecFilled,0.241437,0.240608,0.064962,0.418739,0.222767,3,2
adapter_progression,dense_k1,UAHE_Total,-0.169831,-0.136504,-0.405824,0.032837,0.333335,3,2
adapter_progression,dense_k1,UAHE_per_1kTok,-0.103467,0.015840,-0.381062,0.054820,0.666667,3,1
adapter_progression,k0,CTQRS,-0.104463,-0.080414,-0.195032,-0.037942,0.350074,3,1
adapter_progression,k0,CondFilledRate,0.031679,0.020332,-0.018656,0.093360,0.671187,3,1
adapter_progression,k0,ContextSupportRate,-0.044275,-0.040075,-0.068017,-0.024733,0.760551,3,0
adapter_progression,k0,ROUGE1_F1,0.223522,0.170860,0.055212,0.444494,0.221280,3,2
adapter_progression,k0,ROUGE1_F1_NORM,0.222372,0.174845,0.057210,0.435061,0.183262,3,2
adapter_progression,k0,ROUGE1_R,-0.136571,-0.075655,-0.268819,-0.065238,0.083050,3,2
adapter_progression,k0,ROUGE1_R_NORM,-0.135151,-0.072666,-0.270004,-0.062781,0.115345,3,1
adapter_progression,k0,SBERT,0.033688,0.023062,-0.031818,0.109818,0.666692,3,1
adapter_progression,k0,SBERT_NORM,0.037722,0.037877,-0.030745,0.106036,0.666724,3,1
adapter_progression,k0,SecFilled,0.055350,0.076484,-0.011941,0.101506,0.407914,3,1
adapter_progression,k0,UAHE_Total,-0.010003,-0.006317,-0.034720,0.011028,1.000000,3,0
adapter_progression,k0,UAHE_per_1kTok,0.025679,0.027771,-0.026211,0.075476,0.695904,3,0
k_value,sft_dense_similar,CTQRS,0.048200,0.053942,0.033555,0.057104,0.918438,3,0
k_value,sft_dense_similar,CondFilledRate,-0.008175,0.003767,-0.036100,0.007806,1.000000,3,0
k_value,sft_dense_similar,ContextSupportRate,0.379927,0.366810,0.335253,0.437719,0.000000,3,3
k_value,sft_dense_similar,ROUGE1_F1,-0.001580,0.014425,-0.036925,0.017761,1.000000,3,0
k_value,sft_dense_similar,ROUGE1_F1_NORM,-0.001053,0.014414,-0.034893,0.017319,1.000000,3,0
k_value,sft_dense_similar,ROUGE1_R,0.032969,0.035404,0.007923,0.055580,0.882846,3,0
k_value,sft_dense_similar,ROUGE1_R_NORM,0.033030,0.035272,0.006787,0.057030,0.850623,3,0
k_value,sft_dense_similar,SBERT,-0.056622,-0.085759,-0.087025,0.002919,0.338722,3,2
k_value,sft_dense_similar,SBERT_NORM,-0.052379,-0.070133,-0.080761,-0.006244,0.374227,3,1
k_value,sft_dense_similar,SecFilled,-0.002383,0.020960,-0.050146,0.022038,1.000000,3,0
k_value,sft_dense_similar,UAHE_Total,-0.319802,-0.299040,-0.389597,-0.270769,0.000000,3,3
k_value,sft_dense_similar,UAHE_per_1kTok,-0.322240,-0.317292,-0.349142,-0.300285,0.000000,3,3
